Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
70;46;9,834758758544922;0;2;;1;
110;40;;1;;;1;
80;89;3,58266282081604;0;4;;1;
80;61;1,2687997817993164;0;0;11,580210208892822;0;0
80;88;28,815584897994995;0;3;;1;
90;32;;1;;;1;
90;81;0,0173647403717041;0;0;0,24201369285583496;0;0
100;75;;1;;;1;
100;53;;1;;;1;
60;99;0,013715744018554688;0;0;0,10942387580871582;0;0
60;97;0,49201488494873047;0;7;4,9071204662323;0;7
110;27;;1;;;1;
80;72;1,2710952758789062;0;0;11,393935203552246;0;0
80;54;1,2437710762023926;0;0;9,933023452758789;0;0
80;24;;1;;;1;
100;83;21,37091875076294;0;0;;1;
110;41;;1;;;1;
100;55;39,62779951095581;0;0;;1;
50;18;0,0735940933227539;0;3;0,35968875885009766;0;3
80;12;1,2408356666564941;0;0;9,69548225402832;0;0
100;66;;1;;;1;
120;56;;1;;;1;
100;49;0,018526077270507812;0;0;0,35805439949035645;0;0
90;77;5,050465822219849;0;2;;1;
80;0;25,09228825569153;0;2;;1;
80;21;1,280808925628662;0;0;13,237022399902344;0;0
110;33;;1;;;1;
120;22;0,020823240280151367;0;0;0,5030903816223145;0;0
70;66;4,133590936660767;0;10;;1;
110;73;;1;;;1;
110;35;;1;;;1;
110;28;;1;;;1;
90;52;19,26456117630005;0;11;;1;
100;95;33,84886026382446;0;0;;1;
120;52;0,021039962768554688;0;0;0,49912118911743164;0;0
120;40;0,021102428436279297;0;0;0,49204206466674805;0;0
50;40;0,15326809883117676;0;3;1,095982313156128;0;3
70;68;24,734480142593384;0;1;;1;
110;43;;1;;;1;
100;31;0,018435001373291016;0;0;0,34514689445495605;0;0
100;3;23,73327088356018;0;0;;1;
120;94;;1;;;1;
120;20;;1;;;1;
100;22;26,549603700637817;0;0;;1;
90;44;7,499166965484619;0;0;57,21432828903198;0;0
90;41;4,3898890018463135;0;1;;1;
100;87;;1;;;1;
70;76;0,014800071716308594;0;0;0,14875245094299316;0;0
100;97;;1;;;1;
110;75;0,01948833465576172;0;0;0,38512349128723145;0;0
120;96;;1;;;1;
60;61;1,3784542083740234;0;3;21,689290761947632;0;3
110;49;40,77125954627991;0;3;;1;
50;56;0,012639284133911133;0;0;0,07449555397033691;0;0
100;77;44,45740056037903;0;0;;1;
50;55;0,3312525749206543;0;1;2,088536500930786;0;1
120;91;;1;;;1;
60;6;0,4229443073272705;0;8;4,287651062011719;0;8
100;12;30,101217031478882;0;2;;1;
90;34;;1;;;1;
70;92;13,370023488998413;0;1;;1;
100;72;;1;;;1;
50;84;0,012772083282470703;0;0;0,0759730339050293;0;0
110;11;;1;;;1;
90;56;;1;;;1;
50;29;0,13593769073486328;0;0;0,47284793853759766;0;0
120;80;;1;;;1;
120;59;;1;;;1;
90;43;1,3366153240203857;0;1;14,050915241241455;0;1
70;4;0,5587751865386963;0;0;3,7217259407043457;0;0
50;70;0,11399412155151367;0;3;0,5551772117614746;0;3
100;43;;1;;;1;
120;23;;1;;;1;
120;5;0,020411014556884766;0;0;0,46857380867004395;0;0
90;28;3,7960097789764404;0;7;;1;
120;67;;1;;;1;
80;28;1,2598683834075928;0;0;10,874086141586304;0;0
90;68;56,726890563964844;0;5;;1;
90;42;0,017089366912841797;0;0;0,26865053176879883;0;0
110;60;;1;;;1;
90;89;;1;;;1;
70;18;0,5597977638244629;0;0;3,7804114818573;0;0
110;53;;1;;;1;
100;70;56,48355436325073;0;0;;1;
50;89;0,012189626693725586;0;0;0,07381153106689453;0;0
90;84;7,54394268989563;0;0;33,0629997253418;0;0
70;96;1,9035463333129883;0;3;37,7421178817749;0;3
110;61;;1;;;1;
90;11;;1;;;1;
80;50;0,016321897506713867;0;0;0,18347835540771484;0;0
70;47;9,367875099182129;0;4;;1;
120;74;;1;;;1;
80;13;1,256962537765503;0;0;9,241976976394653;0;0
60;17;1,845078468322754;0;9;20,8751118183136;0;9
90;10;33,84676170349121;0;5;;1;
70;0;0,5699691772460938;0;0;3,902440071105957;0;0
50;16;0,13102936744689941;0;0;0,5071563720703125;0;0
110;17;;1;;;1;
100;98;30,12661910057068;0;0;;1;
80;46;15,28257131576538;0;15;;1;
60;22;0,27640557289123535;0;0;1,6413638591766357;0;0
70;19;9,018714904785156;0;7;;1;
60;77;1,6923260688781738;0;5;37,47597098350525;0;5
60;72;4,034953832626343;0;5;51,67509961128235;0;5
110;78;;1;;;1;
70;43;1,0928609371185303;0;4;12,948123216629028;0;4
110;88;;1;;;1;
80;34;25,947470903396606;0;5;;1;
80;29;27,491485118865967;0;2;;1;
100;64;31,72187113761902;0;0;;1;
50;49;0,09424567222595215;0;0;0,48638129234313965;0;0
60;16;0,26329946517944336;0;0;1,7282147407531738;0;0
60;26;0,2679750919342041;0;0;1,684082269668579;0;0
80;78;11,193474054336548;0;4;;1;
50;96;0,01241302490234375;0;0;0,07424569129943848;0;0
50;39;0,1519913673400879;0;6;1,16090989112854;0;6
50;66;0,012226343154907227;0;0;0,07300853729248047;0;0
70;29;0,540074348449707;0;0;3,3459253311157227;0;0
120;13;;1;;;1;
100;78;;1;;;1;
90;90;10,637410402297974;0;6;;1;
110;85;;1;;;1;
90;0;6,633795738220215;0;0;;1;
100;63;49,55610990524292;0;9;;1;
100;40;30,542487382888794;0;0;;1;
80;75;1,2442703247070312;0;0;10,156940937042236;0;0
120;46;;1;;;1;
50;82;0,1307072639465332;0;0;0,6642887592315674;0;0
80;93;1,2189414501190186;0;0;10,4556725025177;0;0
120;84;;1;;;1;
120;4;;1;;;1;
100;84;55,090786933898926;0;0;;1;
120;66;;1;;;1;
50;52;0,3789055347442627;0;4;3,1739389896392822;0;4
50;83;0,15651512145996094;0;6;0,9409267902374268;0;6
100;35;46,82225751876831;0;0;;1;
100;8;36,88210153579712;0;0;;1;
100;74;0,018699169158935547;0;0;0,33292126655578613;0;0
60;21;6,360749959945679;0;3;;1;
60;62;5,64499831199646;0;1;;1;
90;55;7,639865398406982;0;0;;1;
70;16;0,5453708171844482;0;0;3,2810428142547607;0;0
60;34;3,711606502532959;0;2;43,91635346412659;0;2
90;38;5,598247528076172;0;0;;1;
120;86;;1;;;1;
90;70;35,51658511161804;0;3;;1;
100;92;;1;;;1;
60;31;1,2136974334716797;0;5;14,301541328430176;0;5
120;78;;1;;;1;
60;48;0,25437402725219727;0;0;1,3637969493865967;0;0
90;19;7,557172060012817;0;0;28,151341199874878;0;0
80;98;1,2184114456176758;0;1;10,370882511138916;0;1
70;90;15,159317016601562;0;8;;1;
90;48;9,81746530532837;0;8;;1;
80;57;9,674065828323364;0;5;;1;
70;7;0,5506529808044434;0;0;3,7808101177215576;0;0
90;26;5,92804479598999;0;0;34,00602459907532;0;0
110;47;;1;;;1;
70;58;6,684900522232056;0;4;;1;
90;7;5,283432483673096;0;0;36,298311710357666;0;0
90;69;6,290158271789551;0;0;36,99746608734131;0;0
