Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
70;8;23,72215175628662;0;1;;1;
100;66;0,01824665069580078;0;0;0,33629417419433594;0;0
70;15;5,806654691696167;0;1;2,712785243988037;0;1
100;85;28,698758363723755;0;0;;1;
60;44;0,276172399520874;0;0;1,502413272857666;0;0
70;4;0,5684130191802979;0;0;3,0518434047698975;0;0
50;32;0,27007508277893066;0;1;1,6031486988067627;0;1
100;42;45,189815044403076;0;0;;1;
50;63;0,10815882682800293;0;0;0,47475576400756836;0;0
60;47;0,27127766609191895;0;0;1,4606823921203613;0;0
60;85;7,079134464263916;0;1;;1;
100;23;26,339903354644775;0;0;;1;
60;48;0,2597928047180176;0;0;1,217162847518921;0;0
110;70;;1;;;1;
60;6;0,26873779296875;0;0;1,1749205589294434;0;0
50;33;0,012448310852050781;0;0;0,06715703010559082;0;0
110;29;;1;;;1;
60;82;7,408452033996582;0;1;;1;
100;20;7,5730955600738525;0;1;;1;
120;90;;1;;;1;
60;34;6,4062957763671875;0;1;;1;
80;39;57,63889217376709;0;4;;1;
90;86;0,017144441604614258;0;0;0,23757290840148926;0;0
70;97;7,194417715072632;0;2;;1;
50;23;0,0859076976776123;0;1;0,35210752487182617;0;1
100;83;9,34824013710022;0;1;;1;
70;86;0,29439854621887207;0;1;1,2778129577636719;0;1
120;72;;1;;;1;
60;80;0,20833754539489746;0;2;1,2500510215759277;0;2
60;41;0,260195255279541;0;0;1,0505735874176025;0;0
110;22;57,89470314979553;0;0;;1;
120;32;;1;;;1;
50;25;0,2565345764160156;0;1;4,8891966342926025;0;1
60;25;0,1432938575744629;0;1;0,9575192928314209;0;1
60;53;0,013511180877685547;0;0;0,08980703353881836;0;0
110;52;21,885570764541626;0;1;;1;
80;9;1,3021972179412842;0;0;8,836709022521973;0;0
100;18;53,21096420288086;0;0;;1;
50;75;0,01258087158203125;0;0;0,06268119812011719;0;0
110;38;21,325596809387207;0;1;;1;
80;21;0,015402555465698242;0;0;0,15896129608154297;0;0
100;17;19,74211835861206;0;0;;1;
70;6;0,5670726299285889;0;0;3,4597980976104736;0;0
70;45;0,5673489570617676;0;0;3,17966890335083;0;0
120;0;;1;;;1;
70;28;0,5679898262023926;0;0;3,7804489135742188;0;0
120;2;;1;;;1;
60;74;0,14517807960510254;0;1;0,8349566459655762;0;1
100;2;44,31422281265259;0;0;;1;
110;14;;1;;;1;
80;62;1,2691996097564697;0;0;7,68486762046814;0;0
70;1;9,911175012588501;0;1;;1;
60;27;0,26445436477661133;0;0;1,139709711074829;0;0
100;97;;1;;;1;
110;56;;1;;;1;
90;10;4,554007053375244;0;1;;1;
90;69;;1;;;1;
80;87;;1;;;1;
70;33;24,00746250152588;0;1;;1;
120;47;;1;;;1;
110;37;0,018956422805786133;0;0;0,326693058013916;0;0
90;59;3,860734224319458;0;0;33,25696110725403;0;0
50;22;0,05381417274475098;0;1;0,20881199836730957;0;1
90;42;1,453040361404419;0;1;10,564526081085205;0;1
50;13;0,07395267486572266;0;1;0,33289265632629395;0;1
80;89;0,015564441680908203;0;0;0,1580801010131836;0;0
90;70;2,7659270763397217;0;2;24,361970901489258;0;2
120;42;;1;;;1;
50;99;0,0831763744354248;0;0;0,34475064277648926;0;0
60;8;5,097517251968384;0;1;;1;
100;30;0,017917633056640625;0;0;0,30206918716430664;0;0
110;39;;1;;;1;
60;76;0,22767210006713867;0;1;40,1826958656311;0;1
50;72;0,5023808479309082;0;1;2,942351818084717;0;1
90;35;1,4022188186645508;0;1;14,058719158172607;0;1
70;80;21,59236788749695;0;1;;1;
80;4;1,241450548171997;0;0;6,055315256118774;0;0
90;41;7,513890266418457;0;0;40,65402364730835;0;0
70;42;26,156047344207764;0;1;;1;
100;19;32,8165020942688;0;0;;1;
120;17;;1;;;1;
60;93;2,059971332550049;0;2;18,930391788482666;0;2
60;20;0,27281975746154785;0;0;1,2874689102172852;0;0
90;60;5,477619647979736;0;1;;1;
70;57;0,5769662857055664;0;0;3,2344229221343994;0;0
120;58;;1;;;1;
70;63;0,5692918300628662;0;0;3,619702100753784;0;0
50;19;0,06296920776367188;0;1;0,18699288368225098;0;1
